Date,adj_close
2022-08-22,396.16387939453125
2022-08-23,395.20556640625
2022-08-24,396.4706726074219
2022-08-25,402.06781005859375
2022-08-26,388.4582214355469
2022-08-29,385.8896789550781
2022-08-30,381.65338134765625
2022-08-31,378.7494201660156
2022-09-01,379.9378356933594
2022-09-02,375.9316101074219
2022-09-06,374.51318359375
2022-09-07,381.2413024902344
2022-09-08,383.73321533203125
2022-09-09,389.694580078125
2022-09-12,393.8828430175781
2022-09-13,376.755859375
2022-09-14,378.1935119628906
2022-09-15,373.89984130859375
2022-09-16,371.04730224609375
2022-09-19,373.9248046875
2022-09-20,369.6326599121094
2022-09-21,363.1849365234375
2022-09-22,360.1341857910156
2022-09-23,354.1002502441406
2022-09-26,350.59716796875
2022-09-27,349.70220947265625
2022-09-28,356.58306884765625
2022-09-29,349.1343994140625
2022-09-30,343.73553466796875
2022-10-03,352.81060791015625
2022-10-04,363.7430419921875
2022-10-05,362.89617919921875
2022-10-06,359.1526794433594
2022-10-07,349.1343994140625
2022-10-10,346.46868896484375
2022-10-11,344.27447509765625
2022-10-12,343.138916015625
2022-10-13,352.1947021484375
2022-10-14,344.168701171875
2022-10-17,353.0126953125
2022-10-18,357.1604919433594
2022-10-19,354.6294860839844
2022-10-20,351.6557922363281
2022-10-21,360.2015686035156
2022-10-24,364.60919189453125
2022-10-25,370.4314270019531
2022-10-26,367.6405944824219
2022-10-27,365.67742919921875
2022-10-28,374.3770751953125
2022-10-31,371.6728210449219
2022-11-01,370.0465087890625
2022-11-02,360.75970458984375
2022-11-03,357.0450134277344
2022-11-04,362.1839904785156
2022-11-07,365.6485290527344
2022-11-08,367.621337890625
2022-11-09,360.0475769042969
2022-11-10,379.833740234375
2022-11-11,383.5099182128906
2022-11-14,380.2474670410156
2022-11-15,383.49066162109375
2022-11-16,380.5650939941406
2022-11-17,379.400634765625
2022-11-18,381.12322998046875
2022-11-21,379.73748779296875
2022-11-22,384.8475646972656
2022-11-23,387.27276611328125
2022-11-25,387.18609619140625
2022-11-28,381.00775146484375
2022-11-29,380.3534240722656
2022-11-30,392.334716796875
2022-12-01,392.0460205078125
2022-12-02,391.5937805175781
2022-12-05,384.54925537109375
2022-12-06,379.00604248046875
2022-12-07,378.36126708984375
2022-12-08,381.3253479003906
2022-12-09,378.476806640625
2022-12-12,383.933349609375
2022-12-13,386.8396301269531
2022-12-14,384.36639404296875
2022-12-15,374.964111328125
2022-12-16,370.5372619628906
2022-12-19,367.3952331542969
2022-12-20,367.8979797363281
2022-12-21,373.39892578125
2022-12-22,368.0719909667969
2022-12-23,370.18927001953125
2022-12-27,368.7294006347656
2022-12-28,364.1468811035156
2022-12-29,370.70166015625
2022-12-30,369.72515869140625
2023-01-03,368.1686706542969
2023-01-04,371.010986328125
2023-01-05,366.7765197753906
2023-01-06,375.1874694824219
2023-01-09,374.9747619628906
2023-01-10,377.6044006347656
2023-01-11,382.3802795410156
2023-01-12,383.7724914550781
2023-01-13,385.26129150390625
2023-01-17,384.5555725097656
2023-01-18,378.48419189453125
2023-01-19,375.7288513183594
2023-01-20,382.7283630371094
2023-01-23,387.3205261230469
2023-01-24,386.9048156738281
2023-01-25,387.04986572265625
2023-01-26,391.3036804199219
2023-01-27,392.2027587890625
